DATE,CPI,Govt,FFR,Stim1,Stim2,Stim3,War,Expect,MSGrowth,MSDollars,PRC_Imports,COVID,Urate,BOP,FRSEC
1/1/2012,3.00877,-27407,0.08,0,0,0,0,1.4714419,10.34422,9768.84,34417.54042,0,8.3,-50126,2599444.5
2/1/2012,2.89818,-231677,0.1,0,0,0,0,1.5014226,10.06175,9781.325,28105.18642,0,8.3,-42780,2605644
3/1/2012,2.58288,-198157,0.13,0,0,0,0,1.3620536,9.92371,9891.925,31431.34893,0,8.2,-49749,2606311.5
4/1/2012,2.27316,59117,0.14,0,0,0,0,1.6869361,9.73921,9947.42,33016.25383,0,8.2,-46842,2612460.5
5/1/2012,1.73794,-124636,0.16,0,0,0,0,1.5903147,9.59001,9883.2,34937.82992,0,8.2,-45106,2608856.6
6/1/2012,1.65387,-59741,0.16,0,0,0,0,0.78930567,9.31316,9950.75,35949.35945,0,8.2,-42941,2616685
7/1/2012,1.41751,-69604,0.16,0,0,0,0,1.2966497,8.24625,10000.14,37930.75521,0,8.2,-42406,2605156.25
8/1/2012,1.68593,-190533,0.13,0,0,0,0,1.3700924,6.54813,10063.45,37280.62914,0,8.1,-44030,2586849.4
9/1/2012,1.94972,75180,0.14,0,0,0,0,1.9315046,6.87749,10150.85,37891.82306,0,7.8,-38794,2577924
10/1/2012,2.15568,-119995,0.16,0,0,0,0,1.6131067,7.16461,10228.24,40257.08352,0,7.8,-41467,2584715
11/1/2012,1.79602,-172112,0.16,0,0,0,0,1.6632266,7.3532,10341.2,39543.69318,0,7.7,-45332,2613207.25
12/1/2012,1.7595,-1191,0.16,0,0,0,0,2.1029068,8.27804,10513.04,34857.57954,0,7.9,-36334,2654302
1/1/2013,1.68406,2886,0.14,0,0,0,0,1.3155854,7.65275,10516.425,37193.6588,0,8,-40135,2713301
2/1/2013,2.01814,-203539,0.15,0,0,0,0,1.3608065,7.04276,10470.2,32742.67759,0,7.7,-41004,2813440
3/1/2013,1.51875,-106530,0.14,0,0,0,0,1.0049408,7.10883,10595.125,27294.0672,0,7.5,-34314,2909033.5
4/1/2013,1.13881,112889,0.15,0,0,0,0,1.4563149,7.2461,10668.22,33131.92631,0,7.6,-38487,2993538.75
5/1/2013,1.39039,-138732,0.11,0,0,0,0,1.1780254,7.0033,10575.35,36617.62364,0,7.5,-41701,3084787.8
6/1/2013,1.71579,116501,0.09,0,0,0,0,1.3532103,6.86456,10633.825,35885.97883,0,7.5,-34426,3170349.75
7/1/2013,1.88547,-97597,0.09,0,0,0,0,1.0030329,6.77371,10677.52,38800.43063,0,7.3,-36356,3261185.6
8/1/2013,1.53881,-147905,0.08,0,0,0,0,1.797427,6.63416,10731.075,39161.29952,0,7.2,-36617,3358807.75
9/1/2013,1.09473,75114,0.08,0,0,0,0,2.202423,6.38991,10799.48,40144.39251,0,7.2,-39917,3427579.5
10/1/2013,0.8768,-90586,0.09,0,0,0,0,1.5555239,6.88838,10932.8,41845.47213,0,7.2,-36285,3529791
11/1/2013,1.23287,-135226,0.08,0,0,0,0,1.4505754,6.03919,10965.725,40112.27957,0,6.9,-33983,3628525.75
12/1/2013,1.51284,53220,0.09,0,0,0,0,1.9240314,5.48005,11089.16,37500.21288,0,6.7,-33636,3724210.75
1/1/2014,1.55776,-10250,0.07,0,0,0,0,1.6382453,5.65425,11111.05,38377.19956,0,6.6,-37433,3794418.6
2/1/2014,1.12047,-193532,0.07,0,0,0,0,1.5858281,6.37333,11137.5,30700.35233,0,6.7,-40119,3867267.25
3/1/2014,1.61269,-36895,0.08,0,0,0,0,1.2194617,6.33192,11266,31420.87528,0,6.7,-42940,3936391.75
4/1/2014,2.01513,106853,0.09,0,0,0,0,1.653011,6.27734,11337.9,36450.2188,0,6.2,-43735,4003166.8
5/1/2014,2.16695,-129971,0.09,0,0,0,0,1.76839,6.51728,11264.575,38188.13577,0,6.3,-39575,4056000
6/1/2014,2.05898,70519,0.1,0,0,0,0,1.5265458,6.58742,11334.32,39607.11866,0,6.1,-38895,4089046.75
7/1/2014,1.97424,-94621,0.09,0,0,0,0,1.8594911,6.68254,11391.05,40319.61835,0,6.2,-38935,4127094.8
8/1/2014,1.7151,-128677,0.09,0,0,0,0,1.8065541,6.41245,11419.2,40093.81709,0,6.1,-36935,4151875
9/1/2014,1.68405,105803,0.09,0,0,0,0,2.1150395,6.10252,11458.52,45102.77541,0,5.9,-41672,4174843.25
10/1/2014,1.60954,-121713,0.09,0,0,0,0,1.6022445,5.57931,11542.775,45335.35172,0,5.7,-41067,4204217.6
11/1/2014,1.23152,-56818,0.09,0,0,0,0,1.321155,5.74449,11595.65,42483.52944,0,5.8,-39808,4226174
12/1/2014,0.65312,1864,0.12,0,0,0,0,2.1860996,5.86068,11739.06,40395.90246,0,5.6,-42838,4237327
1/1/2015,-0.22993,-14996,0.11,0,0,0,0,0.91604112,5.85813,11761.95,38589.69673,0,5.7,-38865,4243591
2/1/2015,-0.08703,-192359,0.11,0,0,0,0,0.38334206,6.14074,11821.425,31563.98816,0,5.5,-33903,4239116.5
3/1/2015,-0.02203,-52910.05993,0.11,0,0,0,0,0.79843856,6.03337,11945.72,41136.91753,0,5.4,-48732,4236299.25
4/1/2015,-0.10403,156714.0784,0.12,0,0,0,0,1.5899931,6.04212,12022.95,36121.39447,0,5.4,-39836,4226936.6
5/1/2015,0.03503,-82385.27842,0.12,0,0,0,0,1.7028274,5.63093,11898.875,39082.02991,0,5.6,-38502,4226954.25
6/1/2015,0.17957,51775.764,0.13,0,0,0,0,1.7750546,5.45917,11953.08,41453.8398,0,5.3,-42425,4229760.75
7/1/2015,0.22569,-149186.7661,0.13,0,0,0,0,1.8011251,5.48632,12016,41215.07818,0,5.2,-40340,4235257.2
8/1/2015,0.2413,-64420.51991,0.14,0,0,0,0,1.7247986,5.63402,12062.56,44138.05527,0,5.1,-44205,4235440.5
9/1/2015,0.00884,91060.53109,0.14,0,0,0,0,1.92835583,5.93886,12139.025,45724.95124,0,5,-41641,4239509.8
10/1/2015,0.12762,-136532.0848,0.12,0,0,0,0,1.3119821,5.32996,12158,44309.93252,0,5,-40873,4245731.25
11/1/2015,0.43632,-64552.91958,0.12,0,0,0,0,1.3066673,5.97112,12288.04,41884.77415,0,5.1,-40451,4241865
12/1/2015,0.63872,-14443.94385,0.24,0,0,0,0,1.46795515,5.82342,12422.675,37980.99742,0,5,-41003,4244114.8
1/1/2016,1.2375,55163.28851,0.34,0,0,0,0,1.47498776,6.14035,12484.175,37126.43412,0,4.8,-40044,4244184.75
2/1/2016,0.84728,-192614.0017,0.38,0,0,0,0,1.11589387,5.7842,12505.2,36066.89253,0,4.9,-43306,4244013.5
3/1/2016,0.89162,-108042.7307,0.36,0,0,0,0,0.78224551,6.13655,12678.775,29812.32691,0,5,-36801,4246872.2
4/1/2016,1.17263,106451.8718,0.37,0,0,0,0,1.68966418,6.39257,12791.525,32920.20454,0,5.1,-38048,4245468.75
5/1/2016,1.07848,-52507.41284,0.37,0,0,0,0,1.66012215,6.76606,12703.96,37513.72659,0,4.8,-39032,4234574.25
6/1/2016,1.07929,6251.98744,0.38,0,0,0,0,1.28116185,6.96908,12786.1,38539.19021,0,4.9,-41719,4235034.2
7/1/2016,0.86836,-112815.2385,0.39,0,0,0,0,1.64813436,6.86897,12841.375,39438.85774,0,4.8,-39931,4232746.25
8/1/2016,1.05532,-107111.5757,0.4,0,0,0,0,1.5900866,7.20726,12931.94,43221.77421,0,4.9,-40146,4233495.8
9/1/2016,1.54864,33359.49405,0.4,0,0,0,0,2.06443724,7.20363,13013.475,42020.92855,0,5,-37004,4235440
10/1/2016,1.68592,-44192.20098,0.4,0,0,0,0,1.74399736,7.51077,13071.16,43798.09842,0,4.9,-38555,4223083.25
11/1/2016,1.68433,-136650.5749,0.41,0,0,0,0,1.90220184,7.34625,13190.75,42602.63173,0,4.7,-43896,4226056.8
12/1/2016,2.0508,-27515.79856,0.54,0,0,0,0,2.2917332,6.93832,13284.6,39358.92606,0,4.7,-40976,4231125.25
1/1/2017,2.51039,51257.17764,0.65,0,0,0,0,2.1027318,6.47736,13292.82,41335.5534,0,4.7,-43616,4224287
2/1/2017,2.81036,-192044.4653,0.66,0,0,0,0,1.94277371,6.35256,13299.6,32784.95741,0,4.6,-39678,4234220.25
3/1/2017,2.4412,-176232.3253,0.79,0,0,0,0,1.50314821,6.32257,13480.4,34161.99366,0,4.4,-41055,4246045.4
4/1/2017,2.17622,182428.0576,0.9,0,0,0,0,1.71866969,6.2346,13589.025,37441.87088,0,4.4,-44258,4251207
5/1/2017,1.85634,-88425.99437,0.91,0,0,0,0,1.56480634,6.00207,13466.46,41756.84472,0,4.4,-43972,4248248
6/1/2017,1.64057,-90233.19107,1.04,0,0,0,0,0.95868776,5.74061,13520.1,42258.07862,0,4.3,-42631,4249430
7/1/2017,1.72511,-42939.3776,1.15,0,0,0,0,1.71215951,5.73556,13577.9,43561.11086,0,4.3,-42274,4245468.5
8/1/2017,1.92812,-107688.7768,1.16,0,0,0,0,1.65217832,5.57755,13653.225,45782.31195,0,4.4,-40648,4245264.6
9/1/2017,2.18057,8000.082935,1.15,0,0,0,0,2.05780237,5.26877,13699.125,45405.05128,0,4.3,-40648,4244310.5
10/1/2017,2.02076,-63214.01797,1.15,0,0,0,0,1.95269933,5.1492,13744.22,48133.14963,0,4.2,-41650,4243561.5
11/1/2017,2.17249,-138547.4378,1.16,0,0,0,0,2.06917502,4.75617,13818.125,48104.79342,0,4.2,-44045,4236435.8
12/1/2017,2.12993,-23193.55949,1.3,0,0,0,0,2.82407476,4.84602,13928.375,44439.38224,0,4.1,-45868,4230614.5
1/1/2018,2.1037,49235.72071,1.41,0,0,0,0,1.9048938,4.44872,13884.18,45681.31036,0,4,-46809,4216121.4
2/1/2018,2.22658,-215248.1724,1.42,0,0,0,0,2.13804094,4.05783,13839.275,38956.17396,0,4.1,-48929,4202044.25
3/1/2018,2.33259,-208743.2498,1.51,0,0,0,0,1.68874433,3.89417,14005.35,38273.82929,0,4,-43735,4190563
4/1/2018,2.43783,214255.1137,1.69,0,0,0,0,1.84679022,3.6039,14078.76,38227.76757,0,4,-45435,4169986.5
5/1/2018,2.77659,-146796.4434,1.7,0,0,0,0,1.96778394,3.78043,13975.55,43866.5783,0,3.8,-41672,4137654.4
6/1/2018,2.84851,-74857.99046,1.82,0,0,0,0,1.59099529,4.04472,14066.95,44524.00505,0,4,-45138,4112737
7/1/2018,2.89875,-76865.22967,1.91,0,0,0,0,2.12308939,3.88956,14106.02,47009.75001,0,3.8,-49658,4081135.5
8/1/2018,2.678,-214147.5255,1.91,0,0,0,0,2.12845808,3.71872,14160.95,47796.19411,0,3.8,-49233,4038076
9/1/2018,2.35518,119116.0089,1.95,0,0,0,0,2.41001454,3.6475,14198.8,49938.0499,0,3.7,-50891,4008366
10/1/2018,2.52852,-100491.1425,2.19,0,0,0,0,2.21216657,3.31558,14199.92,52081.0705,0,3.8,-52475,3969789.8
11/1/2018,2.17281,-204902.5574,2.2,0,0,0,0,2.16701625,3.06825,14242.1,46344.57097,0,3.8,-49550,3927951.5
12/1/2018,1.91522,-13539.35863,2.27,0,0,0,0,1.98107002,3.62917,14433.86,45814.8585,0,3.9,-55070,3891230.25
1/1/2019,1.49833,8682.866611,2.4,0,0,0,0,1.8039584,3.96275,14434.375,41302.50818,0,4,-48874,3854999.4
2/1/2019,1.48172,-233977.2488,2.4,0,0,0,0,1.78943106,3.96227,14387.625,33027.7581,0,3.8,-47196,3812691.75
3/1/2019,1.87995,-146944.7657,2.41,0,0,0,0,1.37532429,3.86281,14546.35,31078.66293,0,3.8,-49138,3779794.25
4/1/2019,2.00563,160304.5089,2.42,0,0,0,0,2.0373803,3.90233,14628.16,34499.45493,0,3.6,-48979,3745014.5
5/1/2019,1.81275,-207768.3913,2.39,0,0,0,0,2.18513987,4.19125,14561.3,39023.88171,0,3.6,-50544,3688771.6
6/1/2019,1.68964,-8476.318454,2.38,0,0,0,0,1.60914045,4.6316,14718.475,38732.97518,0,3.6,-48902,3660450.5
7/1/2019,1.82116,-119695.8062,2.4,0,0,0,0,1.74765616,4.93279,14801.84,41237.16616,0,3.7,-48351,3619434.4
8/1/2019,1.75969,-200344.3489,2.13,0,0,0,0,1.71433646,5.13913,14888.7,40955.64295,0,3.7,-48233,3592769.5
9/1/2019,1.72733,82767.65846,2.04,0,0,0,0,1.64492794,5.49131,14978.5,39866.67315,0,3.5,-44958,3587532.75
10/1/2019,1.75708,-134467.5649,1.83,0,0,0,0,1.72460183,6.39761,15108.375,39794.88945,0,3.6,-41926,3599892.2
11/1/2019,2.03082,-208838.2945,1.55,0,0,0,0,1.69729979,6.99774,15238.725,36172.91488,0,3.6,-38684,3657719.5
12/1/2019,2.26172,-13272.55732,1.55,0,0,0,0,1.70378442,6.67209,15396.9,33418.14908,0,3.6,-43891,3717710.75
1/1/2020,2.46049,-32593.28001,1.55,0,0,0,0,1.79710932,6.75627,15409.6,32952.35259,7,3.5,-44357,3769749.6
2/1/2020,2.31971,-235335.2139,1.58,0,0,0,0,1.64596366,6.76015,15360.25,22581.56274,67,3.5,-40501,3835519.75
3/1/2020,1.53064,-119125.1647,0.65,0,0,0,0,0.98707392,9.66462,15952.2,19641.29759,70519,4.4,-44847,4037279
4/1/2020,0.36486,-737850.6211,0.05,1,0,0,0,-0.05035367,16.57413,17052.65,30740.32499,983114,14.7,-52246,5273876.6
5/1/2020,0.24244,-398821.4137,0.05,0,0,0,0,-0.21879037,21.57774,17703.3,36323.55467,649640,13.2,-54367,5843195.25
6/1/2020,0.72681,-864074.0685,0.08,0,0,0,0,0.51275711,22.73595,18064.86,37293.39527,666200,11,-48972,6048567.25
7/1/2020,1.03283,-62991.72639,0.09,0,0,0,0,1.57200144,23.37672,18262.025,40482.28631,2040988,10.2,-58818,6188826.4
8/1/2020,1.32759,-200095.0151,0.1,0,0,0,0,1.67677177,22.93659,18303.66,40613.39927,1402259,8.4,-61115,6283343.5
9/1/2020,1.40065,-124610.5584,0.09,0,0,0,0,1.5827644,23.78626,18541.325,41017.16976,1419337,7.9,-59105,6397502
10/1/2020,1.1842,-284070.5372,0.09,0,0,0,0,1.39703767,23.50567,18659.7,44672.40962,1654212,6.9,-62107,6519586.75
11/1/2020,1.13776,-145266.2635,0.09,0,0,0,0,1.42002946,24.39059,18955.54,44731.67656,4025201,6.7,-64985,6586667
12/1/2020,1.27815,-143562.3274,0.09,0,1,0,0,1.64952129,24.92482,19234.55,41633.92278,6980972,6.7,-62570,6700746.8
1/1/2021,1.35997,-162832.4895,0.09,0,0,0,0,1.4460926,25.7007,19369.975,38870.04182,5831248,6.4,-63828,6797707.5
2/1/2021,1.67524,-310921.9425,0.08,0,0,0,0,1.67548668,26.77284,19472.625,33871.464,2697945,6.2,-65294,6934953.25
3/1/2021,2.65838,-659591.6184,0.07,0,0,0,0,1.51383809,24.59285,19875.3,39988.42652,2070827,6,-68069,7090197.8
4/1/2021,4.15199,-225579.4603,0.07,0,0,1,0,1.75471736,18.88328,20272.75,37408.53623,1773084,6,-65724,7207246.25
5/1/2021,4.94444,-131953.0632,0.06,0,0,0,0,1.86820734,14.75036,20314.6,38507.66009,947943,5.8,-66633,7291913.75
6/1/2021,5.34102,-174160.5503,0.08,0,0,0,0,2.05518859,13.10937,20433.05,39819.35372,474676,5.9,-71357,7450341.4
7/1/2021,5.2761,-302050.4883,0.1,0,0,0,0,2.07311612,12.52367,20549.1,40315.75173,1034501,5.4,-69382,7617340.75
8/1/2021,5.20533,-170634.6537,0.09,0,0,0,0,2.46241259,13.31155,20740.16,42896.45458,3599341,5.2,-71426,7733453.75
9/1/2021,5.38991,-61544.25121,0.08,0,0,0,0,2.68413713,12.82433,20919.125,47384.88375,5038148,4.7,-78334,7881596.2
10/1/2021,6.23694,-165055.3669,0.08,0,0,0,0,1.85436755,12.9426,21074.75,47986.67441,2363633,4.6,-68156,8000350.5
11/1/2021,6.82837,-191335.0405,0.08,0,0,0,0,2.4798405,12.3815,21302.52,48360.67627,2327426,4.2,-77977,8145496.5
12/1/2021,7.09654,-21303.12943,0.08,0,0,0,0,2.62030861,12.53591,21645.775,49525.45303,5625147,3.9,-78867,8236698.8
1/1/2022,7.52593,118698.8582,0.08,0,0,0,0,2.24175848,11.75791,21647.48,47846.86594,19610703,4,-88035,8335792.25
2/1/2022,7.91202,-216589.7521,0.08,0,0,0,1,2.62741883,10.87591,21590.45,42259.97599,5662095,3.8,-87799,8423483.25
3/1/2022,8.55759,-192682.3867,0.2,0,0,0,1,3.05769883,9.89054,21841.075,47373.52158,1221881,3.6,-106917,8471666.2
4/1/2022,8.22414,308215.0605,0.33,0,0,0,1,3.39290341,8.06168,21907.075,41772.20109,1080048,3.6,-86708,8490195.5
5/1/2022,8.51641,-66222.56121,0.77,0,0,0,1,3.63465785,6.135,21560.9,43864.41856,2506419,3.6,-85853,8487497.75
6/1/2022,8.99522,-88841.51293,1.21,0,0,0,1,4.22671337,5.62263,21581.925,48625.3061,3678014,3.6,-80879,8484903.2
7/1/2022,8.48213,-211051.7601,1.68,0,0,0,1,3.3092777,5.02528,21581.75,46664.14931,3474558,3.5,-70455,8457195.5
8/1/2022,8.24923,-219596.2409,2.33,0,0,0,1,3.37713165,3.93015,21555.28,50348.83658,3574200,3.7,-65679,8428802.6
9/1/2022,8.22241,-219596.2409,2.56,0,0,0,1,4.17914969,2.64124,21471.65,50348.83658,1734356,3.5,-73282,8393452.25
